cik	ticker
1090872	A
4281	AA
1332552	AAACU
1287145	AABB
1024015	AABC
1099290	AAC
1264707	AACC
849116	AACE
1409430	AAGC
948846	AAI
1013243	AAIIQ
1303849	AAIR
6201	AAL
852015	AAMC
1555074	AAMC
8177	AAME
1281629	AAML
1123648	AAMU
706688	AAN
356809	AANB
933955	AANI
1158114	AAOI
824142	AAON
1305748	AAOR
1158449	AAP
1040482	AAPH
320193	AAPL
1362502	AAPT
1424864	AARI
1424864	AARI
1411058	AARS
930245	AASP
703701	AASR
1500217	AAT
1104042	AATI
1419260	AAUI
1077319	AAVG
1358940	AAXT
801558	AB
825313	AB
745651	ABAT
881890	ABAX
1428802	ABBB
1292898	ABBC
1397533	ABBC
812146	ABBK
1551152	ABBV
1140859	ABC
351569	ABCB
1009624	ABCC
1466815	ABCD
1157377	ABCO
20639	ABCP
1490700	ABCR
1528234	ABCR
885322	ABCW
812805	ABDV
841071	ABER
1297533	ABEW
3000	ABF
772349	ABFI
894405	ABFS
1144980	ABG
1036140	ABGTF
1052837	ABGX
1393066	ABH
1405858	ABHD
1052489	ABHH
77551	ABI
1409012	ABII
845779	ABIX
874501	ABK
1332044	ABKB
1400000	ABKI
4611	ABL
1065728	ABLE
771497	ABM
896747	ABMC
815094	ABMD
1385799	ABMT
721238	ABNC
1330039	ABNJ
1140472	ABNS
1138862	ABOS
1342916	ABOZ
1096182	ABPH
1310094	ABPI
816958	ABPR
1253986	ABR
1923	ABRI
803097	ABRK
1112706	ABRM
857171	ABRX
3333	ABS
1355833	ABS
1204947	ABSC
1800	ABT
1023364	ABTL
1435161	ABTO
1181001	ABVA
1043533	ABVT
1035632	ABWG
1002360	ABWS
1304623	ACA
1070494	ACAD
904020	ACAI
1118148	ACAP
1429896	ACAR
817473	ACAS
719866	ACAT
1106980	ACBA
1303476	ACBP
1283630	ACC
1001463	ACCA
1002388	ACCL
1388132	ACCM
318306	ACCP
1041588	ACCR
1337566	ACCY
847917	ACD
1071941	ACDI
1068887	ACDO
1390449	ACDQ
896159	ACE
1017526	ACEC
708717	ACEL
2034	ACET
804269	ACF
1284077	ACFC
1404296	ACFC
880984	ACFN
816754	ACG
949394	ACGI
947484	ACGL
1520697	ACHC
1132487	ACHI
1070336	ACHN
1037676	ACI
1138462	ACIE
1020998	ACIT
935036	ACIW
1109304	ACKHQ
1067588	ACLA
1324479	ACLI
934445	ACLO
1113232	ACLS
868857	ACM
934543	ACMC
1092013	ACME
1483096	ACMP
1042809	ACMR
2062	ACMTA
1134538	ACN
1467373	ACN
1467373	ACN
715579	ACNB
1123448	ACNI
813621	ACO
1469433	ACOM
1008848	ACOR
1503290	ACP
1040599	ACPQL
1044435	ACPW
787784	ACR
1529377	ACRE
1529377	ACRE
711307	ACRG
1228386	ACRI
883296	ACRO
1497251	ACRO
1087243	ACRU
1427925	ACRX
2135	ACS
1581934	ACSF
1137587	ACSH
884629	ACT
1578845	ACT
1140098	ACTC
1437517	ACTC
1437517	ACTC
934549	ACTG
1183941	ACTI
907687	ACTL
1296286	ACTN
1342068	ACTS
918709	ACTT
1062478	ACTU
1163932	ACTV
2098	ACU
764794	ACUP
786947	ACUR
1115143	ACUS
3327	ACV
1368457	ACV
727347	ACVE
817979	ACW
733269	ACXM
1036848	ACY
801622	AD
1422222	ADAC
863650	ADAM
16357	ADAPQ
885074	ADAT
712034	ADB
796343	ADBE
1077926	ADBL
1081751	ADBN
917251	ADC
943184	ADCC
61478	ADCT
932127	ADDI
1446885	ADEC
865415	ADEP
1223112	ADES
1515156	ADES
884498	ADEX
910524	ADF
3952	ADG
1471278	ADG
1109744	ADGD
1378706	ADGE
1378706	ADGE
1059763	ADGF
1389217	ADGL
1211583	ADHXF
6281	ADI
891554	ADI
770403	ADIC
1096935	ADIF
1004724	ADK
796486	ADLAC
1085129	ADLE
874388	ADLI
1076167	ADLR
1322734	ADLS
1002125	ADLTQ
894537	ADLU
7084	ADM
1486315	ADMC
1449349	ADMD
806514	ADMG
1201663	ADNC
1129018	ADNT
1029762	ADNW
700815	ADNY
8670	ADP
1028087	ADPI
709804	ADPT
1445815	ADRV
1123337	ADRX
1101215	ADS
1052773	ADSC
769397	ADSK
901899	ADSM
1103544	ADSO
1403243	ADSO
1091599	ADST
1452206	ADSY
1546640	ADT
770034	ADTI
1428397	ADTM
926282	ADTN
1115463	ADTR
1468328	ADUS
791833	ADVB
1100820	ADVC
96638	ADVNB
1012956	ADVP
786623	ADVR
1002225	ADVS
2230	ADX
1402531	ADXM
1100397	ADXS
789868	ADY
1123580	ADYE
1346848	ADYN
902482	ADZA
1102013	ADZR
2178	AE
1299704	AEA
738214	AEBF
911635	AEC
705003	AEDU
1002910	AEE
854608	AEEI
1424549	AEGA
843212	AEGG
843212	AEGG
1039160	AEGN
1338042	AEGR
1446896	AEGY
1421874	AEHI
1040470	AEHR
1041651	AEHZF
927003	AEIS
1039828	AEL
882291	AEMD
722077	AEN
1041829	AEN
1398235	AENA
1136725	AEND
1043225	AENG
1111391	AENP
1175867	AENS
1137239	AENY
919012	AEO
1343257	AEOH
4904	AEP
785787	AEPI
1378789	AER
879911	AERG
1337553	AERI
1316644	AERO
1277270	AERR
849706	AERT
874761	AES
1043432	AESK
1026744	AESP
1122304	AET
874389	AETC
1043186	AETI
351129	AEXB
1388486	AEXP
1388486	AEXP
1388486	AEXP
874292	AEY
910322	AF
799231	AFAM
1501489	AFAN
1162027	AFB
1158865	AFBA
1023398	AFBC
1472093	AFCB
898805	AFCI
1040660	AFCO
1296595	AFDG
820608	AFEM
1007508	AFFI
1282453	AFFM
1282543	AFFM
1143997	AFFS
1433821	AFFW
913077	AFFX
1158223	AFFY
1042046	AFG
1012316	AFGI
1539894	AFH
4977	AFL
1336654	AFMI
1122342	AFOP
65358	AFP
319126	AFPC
1193558	AFR
1365555	AFSI
1355677	AFSN
1502573	AFT
1167868	AFVS
1421419	AGAM
1016900	AGAS
842289	AGBG
1391461	AGC
1052163	AGCC
880266	AGCO
1006030	AGD
1362481	AGD
1330323	AGDI
718482	AGE
1084122	AGEL
1098972	AGEN
1085596	AGGX
811828	AGH
800082	AGII
1091748	AGII
1088653	AGIL
1497316	AGIN
1439222	AGIO
778426	AGIS
1107601	AGIX
6571	AGL
845877	AGM
725752	AGMB
1030699	AGMG
1072816	AGMN
820757	AGMX
850693	AGN
1423689	AGNC
1104502	AGNM
1112880	AGNT
1273813	AGO
1064863	AGP
1129446	AGR
726293	AGRC
1101752	AGRD
1352858	AGRT
1139029	AGRX
1183075	AGSI
1310497	AGSM
1321366	AGSX
1091294	AGTA
1369608	AGWS
1020676	AGWT
100591	AGX
1167887	AGXM
895385	AGY
78749	AGYS
845752	AH
1472595	AH
1413898	AHC
890634	AHCI
945634	AHFP
882289	AHG
1344980	AHGP
1256536	AHH
1297178	AHH
1569187	AHH
909950	AHI
1372813	AHII
1267395	AHL
1089504	AHMH
1158702	AHMR
720480	AHN
911115	AHNC
1304409	AHNR
879181	AHOM
1574085	AHP
874710	AHPI
1050112	AHR
1175596	AHR
1377053	AHRO
1142750	AHS
1232582	AHT
724533	AIA
1282552	AIC
74783	AICIQ
27425	AICO
816066	AICX
1220286	AIDA
1005356	AIDO
1089799	AIDP
1526697	AIF
5272	AIG
46653	AIH
753281	AII
784014	AIJ
811437	AIK
109471	AIM
1374535	AIMC
879106	AIMM
819793	AIN
798399	AINN
1278752	AINV
817135	AIQ
1750	AIR
1135185	AIR
816159	AIRM
1105542	AIRN
353184	AIRT
1116435	AIRV
1500123	AIRW
109563	AIT
1081372	AITX
922864	AIV
1471302	AIVI
5656	AIVN
1267238	AIZ
854858	AJAYP
354190	AJG
1394108	AJGI
1394108	AJGI
1394108	AJGI
1144515	AJSB
1576336	AJSB
1086222	AKAM
1321834	AKER
1042420	AKES
804888	AKLM
1162028	AKP
1081860	AKPB
899629	AKR
1104040	AKRK
3116	AKRN
918160	AKS
902600	AKSY
1191359	AKVA
1460685	AKYI
1487712	AL
926966	ALAB
98618	ALAN
915913	ALB
1310817	ALBA
1074369	ALBY
929994	ALC
708484	ALCD
3642	ALCI
3545	ALCO
3906	ALD
902272	ALDA
1358652	ALDM
1556766	ALDW
66756	ALE
1545654	ALEX
743532	ALFA
1172095	ALFC
1187449	ALFE
897077	ALG
8855	ALGI
1097149	ALGN
1362468	ALGT
1087216	ALHC
1070361	ALIF
1267602	ALIM
1325955	ALJ
766421	ALK
874663	ALKS
1520262	ALKS
899051	ALL
1373079	ALLB
1500711	ALLB
1045260	ALLC
703970	ALLE
1579241	ALLE
847935	ALLI
1020391	ALLN
736994	ALLP
1365767	ALLT
93730	ALM
1360334	ALME
1100542	ALMG
1343957	ALMN
1140188	ALMO
3721	ALN
1117057	ALN
796317	ALNC
1178670	ALNY
730469	ALO
1211524	ALOD
6284	ALOG
8146	ALOT
1080359	ALOY
1092807	ALPE
1002132	ALPH
1128227	ALPN
3153	ALPPRN
1054274	ALQA
1145460	ALR
920521	ALRC
1044119	ALRG
1087022	ALRT
1114936	ALRX
913293	ALSC
1089511	ALSK
1264388	ALSM
1411207	ALSN
1421538	ALSO
1141719	ALTE
1097264	ALTH
1016546	ALTI
949244	ALTM
1430124	ALTO
768251	ALTR
1340744	ALTU
104777	ALTV
846538	ALU
1034670	ALV
3499	ALX
1344413	ALXA
899866	ALXN
3982	ALY
1126003	ALYI
5133	AM
700721	AMAC
792977	AMAG
1014763	AMAR
1023198	AMAS
6951	AMAT
1045609	AMB
1280263	AMBA
1040491	AMBB
276750	AMBE
1131543	AMBI
1163747	AMBK
1424812	AMBS
1047919	AMBT
878774	AMC
1411579	AMC
711065	AMCC
774517	AMCE
1469606	AMCF
1435772	AMCG
350193	AMCI
1343009	AMCM
1009667	AMCP
1514991	AMCX
2488	AMD
1130781	AMDR
1037868	AME
1318820	AMEC
896262	AMED
1083446	AMEH
1037599	AMEN
1111312	AMEV
838133	AMF
915393	AMFC
788340	AMFE
714756	AMFI
894972	AMFM
1105949	AMFS
1004434	AMG
1344708	AMGI
61442	AMGIA
318154	AMGN
318154	AMGN
1109504	AMGO
1534155	AMGTI
1534155	AMGTI
1534155	AMGTI
1051717	AMH
1562401	AMH
854862	AMHI
817161	AMI
97196	AMIC
1513965	AMID
946842	AMIE
1073146	AMIN
1161963	AMIS
766430	AMK
1047127	AMKR
1361566	AMKR
914724	AML
1124197	AMLH
1003640	AMLJ
1356371	AMLM
881464	AMLN
841866	AMM
1114200	AMMD
826444	AMMY
790730	AMN
741516	AMNB
771944	AMNB
8328	AMNL
1069389	AMNM
799414	AMNN
1035744	AMNT
928609	AMO
46129	AMOT
820027	AMP
1016151	AMPD
1425287	AMPD
1138593	AMPE
1411906	AMPE
724024	AMPH
1292521	AMPI
731859	AMPL
887433	AMPX
1103086	AMRA
1108236	AMRB
1488139	AMRC
1065087	AMRI
897448	AMRN
1120246	AMRN
1100747	AMRS
1365916	AMRS
1430415	AMRZ
744825	AMS
880807	AMSC
1052994	AMSE
879957	AMSF
1018979	AMSF
895930	AMSG
1099674	AMSI
1141880	AMSN
907033	AMST
1360479	AMST
1142801	AMSU
1307701	AMSV
713425	AMSWA
310624	AMSY
1053507	AMT
741559	AMTA
1064015	AMTC
1173431	AMTD
1515980	AMTG
1250485	AMTN
1017797	AMTU
945828	AMTY
897513	AMU
927102	AMV
1393816	AMV
1041580	AMW
794619	AMWD
1495191	AMWI
1094363	AMWW
944248	AMXC
1273507	AMXG
913957	AMY
878897	AMZ
1088781	AMZB
1282613	AMZG
1018724	AMZN
1518548	AMZZ
350698	AN
1411158	ANAC
940332	ANAD
904163	ANAT
1448301	ANCB
944163	ANCC
6260	ANCPA
4811	ANCS
1500122	ANCV
1176316	ANCX
6494	AND
821026	ANDE
1128495	ANDS
317093	ANDW
1046002	ANE
6314	ANEN
1018840	ANF
1490161	ANFC
1491778	ANGI
815093	ANGN
1275187	ANGO
1047884	ANH
913614	ANII
898437	ANIK
1023024	ANIP
804138	ANL
753048	ANLT
6292	ANLY
874214	ANN
1041429	ANNB
1415917	ANNO
1096481	ANPI
1452872	ANPZ
1051628	ANR
1310243	ANR
1011696	ANS
1496690	ANSH
351721	ANSI
1057379	ANSR
1013462	ANSS
849433	ANST
1283073	ANSW
1090709	ANT
1163842	ANT
1316175	ANTH
6732	ANTL
724267	ANTP
796655	ANTS
1097575	ANTX
1376610	ANV
353681	ANVS
1160308	ANX
1090514	AOB
1120916	AOBGI
315293	AOC
1379400	AOD
834933	AOF
1080634	AOGC
918573	AOGS
944020	AOHO
939930	AOI
1081074	AOIL
1544400	AOIX
1468516	AOL
1100395	AOLA
1261734	AOLS
1261734	AOLS
1395005	AOME
1167178	AONE
1048237	AOOR
1033523	AOR
3753	AORGB
91142	AOS
1387467	AOSL
824803	AOT
17544	AOTL
6176	AP
6769	APA
1019883	APAB
949297	APAC
311471	APAG
1517302	APAM
795618	APB
773910	APC
835910	APCC
1120102	APCS
1354003	APCU
2969	APD
744452	APDN
1295923	APDR
