cik,companyname,entityid,marketoperator,markettier,primaryexchange,primarysymbol,siccode,sicdescription
0000000020,K TRON INTERNATIONAL INC,6026,,,,,3823,"Industrial Instruments for Measurement, Display, and Control of "
0000001750,AAR CORP,8804,NYSE,NYSE,NYSE,AIR,3720,Aircraft And Parts
0000001800,ABBOTT LABORATORIES,5054,NYSE,NYSE,NYSE,ABT,2834,Pharmaceutical Preparations
0000001853,"MOTIVNATION, INC.",107223,,,,,3711,Motor Vehicles and Passenger Car Bodies
0000001923,"SERVIDYNE, INC.",181,,,,,1540,General Building Contractors-Nnonresidential
0000001961,WORLDS INC,868,OTC Markets,OTCQB,OTC,WDDD,7372,Services-Prepackaged Software
0000002034,ACETO CORP,3426,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,ACET,5122,"Wholesale-Drugs, Proprietaries and Druggists' Sundries"
0000002062,ACMAT CORP,4445,OTC Markets,OTC Pink Limited,OTC,ACMT,6351,Surety Insurance
0000002098,ACME UNITED CORP,3656,NYSE,NYSE MKT,NYSE MKT,ACU,3420,"Cutlery, Handtools and General Hardware"
0000002135,AFFILIATED COMPUTER SERVICES INC,1036,,,,,7374,Services-Computer Processing and Data Preparation
0000002178,"ADAMS RESOURCES & ENERGY, INC.",8589,NYSE,NYSE MKT,NYSE MKT,AE,5172,Wholesale-Petroleum and Petroleum Products (No Bulk Stations)
0000002186,RELM WIRELESS CORP,1381,NYSE,NYSE MKT,NYSE MKT,RWC,3663,Radio and Television Broadcasting and Communications Equipment
0000002488,ADVANCED MICRO DEVICES INC,10934,NASDAQ,NASDAQ Capital Market,Nasdaq Capital Market,AMD,3674,Semiconductors and Related Devices
0000002491,"BALLY TECHNOLOGIES, INC.",10885,,,,,7372,Services-Prepackaged Software
0000002601,AEROFLEX INC,3296,,,,,3674,Semiconductors and Related Devices
0000002809,AGNICO EAGLE MINES LTD,5975,NYSE,NYSE,NYSE,AEM,1040,Gold And Silver Ores
0000002817,AGRI DYNAMICS INC,305688,OTC Markets,OTC Pink No Information,OTC,AGDY,3713,Truck and Bus Bodies
0000002969,AIR PRODUCTS & CHEMICALS INC /DE/,7570,NYSE,NYSE,NYSE,APD,2810,Industrial Inorganic Chemicals
0000003116,AKORN INC,3847,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,AKRX,2834,Pharmaceutical Preparations
0000003124,AKZO NOBEL NV,99843,OTC Markets,OTCQX International Premier,OTC,AKZOY,2800,Chemicals and Allied Products
0000003133,AMSOUTH BANCORPORATION,2127,,,,,6022,State Commercial Banks
0000003146,SPIRE ALABAMA INC,12129,,,,,4924,Natural Gas Distribution
0000003153,ALABAMA POWER CO,6295,OTC Markets,OTC Pink Current,OTC,ALPVN,4911,Electric Services
0000003197,CECO ENVIRONMENTAL CORP,11381,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,CECE,3564,Industrial and Commercial Fans and Blowers and Air Purification 
0000003202,ALASKA AIRLINES INC,14337,,,,,4512,"Air Transportation, Scheduled"
0000003270,ALASKA POWER & TELEPHONE CO,50778,OTC Markets,OTC Pink Limited,OTC,APTL,,
0000003333,ALBERTSONS INC /DE/,9168,,,,,5411,Retail-Grocery Stores
0000003370,IKON OFFICE SOLUTIONS INC,4410,,,,,5045,Wholesale-Computers and Peripheral Equipment and Software
0000003453,"MATSON, INC.",9371,NYSE,NYSE,NYSE,MATX,4400,Water transportation
0000003499,ALEXANDERS INC,11522,NYSE,NYSE,NYSE,ALX,6798,Real Estate Investment Trusts
0000003545,ALICO INC,8907,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,ALCO,0100,Agricultural Production-Crops
0000003570,CHENIERE ENERGY INC,11013,NYSE,NYSE MKT,NYSE MKT,LNG,4924,Natural Gas Distribution
0000003673,"ALLEGHENY ENERGY, INC",11559,,,,,4911,Electric Services
0000003753,ALLEN ORGAN CO,11961,,,,,3931,Musical Instruments
0000003906,ALLIED CAPITAL CORP,6256,,,,,2200,Textile mill products
0000003941,ALLIED PRODUCTS CORP /DE/,6202,,,,,3523,Farm Machinery and Equipment
0000003952,ALLIED DEFENSE GROUP INC,4793,,,,,3480,"Ordnance and Accessories, (No Vehicles/Guided Missiles)"
0000003959,ITIS HOLDINGS INC,2619,,,,,2731,"Books: Publishing, or Publishing and Printing"
0000003982,ALLIS CHALMERS ENERGY INC.,10902,,,,,1389,"Oil and Gas Field Services, Not Elsewhere Classified"
0000004127,"SKYWORKS SOLUTIONS, INC.",9198,NASDAQ,NASDAQ Global Select Market,Nasdaq Global Market,SWKS,3674,Semiconductors and Related Devices
0000004164,ALPINE GROUP INC /DE/,3419,OTC Markets,OTC Pink No Information,OTC,APNI,3357,Drawing and Insulating of Nonferrous Wire
