adsh	cik	name	sic	countryba	stprba	cityba	zipba	bas1	bas2	baph	countryma	stprma	cityma	zipma	mas1	mas2	countryinc	stprinc	ein	former	changed	afs	wksi	fye	form	period	fy	fp	filed	accepted	prevrpt	detail	instance	nciks	aciks
0000002178-16-000103	2178	ADAMS RESOURCES & ENERGY, INC.	5172	US	TX	HOUSTON	77027	17 S. BRIAR HOLLOW LN.		7138813600	US	TX	HOUSTON	77001	P O BOX 844		US	DE	741753147	ADAMS RESOURCES & ENERGY INC	19920703	2-ACC	0	1231	10-Q	20160930	2016	Q3	20161109	2016-11-09 12:49:00.0	0	1	ae-20160930.xml	1	
0000002488-16-000263	2488	ADVANCED MICRO DEVICES INC	3674	US	CA	SUNNYVALE	94088-3453	ONE AMD PL	MS 68	4087495441	US	CA	SUNNYVALE	94088-3450	ONE AMD PLACE	MS 68	US	DE	941692300			1-LAF	0	1231	10-Q	20160930	2016	Q3	20161026	2016-10-26 17:15:00.0	0	1	amd-20160924.xml	1	
0000003499-16-000054	3499	ALEXANDERS INC	6798	US	NJ	PARAMUS	07652	210 ROUTE 4 EAST		201-587-8541	US	NJ	PARAMUS	07652	210 ROUTE 4 EAST		US	DE	510100517			1-LAF	1	1231	10-Q	20160930	2016	Q3	20161031	2016-10-31 08:19:00.0	0	1	alx-20160930.xml	1	
0000003545-16-000188	3545	ALICO INC	0100	US	FL	FT. MYERS,	33913	10070 DANIELS INTERSTATE COURT STE. 100		239-226-2000	US	FL	FT. MYERS,	33913	10070 DANIELS INTERSTATE COURT STE. 100		US	FL	590906081	ALICO LAND DEVELOPMENT CO	19740219	2-ACC	0	0930	10-K	20160930	2016	FY	20161206	2016-12-06 17:05:00.0	0	1	alco-20160930.xml	1	
0000003570-16-000427	3570	CHENIERE ENERGY INC	4924	US	TX	HOUSTON	77002	700 MILAM ST.	SUITE 1900	7133755000	US	TX	HOUSTON	77002	700 MILAM ST.	SUITE 1900	US	DE	954352386	BEXY COMMUNICATIONS INC	19940314	1-LAF	0	1231	10-Q	20160930	2016	Q3	20161103	2016-11-02 18:52:00.0	0	1	lng-20160930.xml	1	
0000004127-16-000068	4127	SKYWORKS SOLUTIONS, INC.	3674	US	MA	WOBURN	01801	20 SYLVAN ROAD		6179355150	US	MA	WOBURN	01801	20 SYLVAN ROAD	20 SYLVAN ROAD	US	DE	042302115	SKYWORKS SOLUTIONS INC	20020627	1-LAF	1	0930	10-K	20160930	2016	FY	20161122	2016-11-22 16:24:00.0	0	1	swks-20160930.xml	1	
0000004457-16-000126	4457	AMERCO /NV/	7510	US	NV	RENO	89511	5555 KIETZKE LANE STE 100		7756886300	US	NV	RENO	89511	5555 KIETZKE LANE	SUITE 100	US	NV	880106815	AMERCO	19770926	1-LAF	1	0331	10-Q	20160930	2016	Q2	20161109	2016-11-09 16:17:00.0	0	1	uhal-20160930.xml	1	
0000004904-16-000102	4904	AMERICAN ELECTRIC POWER CO INC	4911	US	OH	COLUMBUS	43215	1 RIVERSIDE PLAZA		614-716-1000	US	OH	COLUMBUS	43215	1 RIVERSIDE PLAZA		US	NY	134922640	KINGSPORT UTILITIES INC	19660906	1-LAF	0	1231	10-Q	20160930	2016	Q3	20161102	2016-11-01 17:40:00.0	0	1	aep-20160930.xml	6	81027 73986 92487 50172 6879
0000004969-16-000020	4969	AMERICAN EXPRESS CREDIT CORP	6153	US	DE	WILMINGTON	19801-2919	ONE CHRISTINA CENTRE 301 N WALNUT STREET	SUITE 1002	3025943350	US	DE	WILMINGTON	19801-2919	ONE CHRISTINA CENTRE 301 N WALNUT STREET	SUITE 1002	US	DE	111988350			4-NON	1	1231	10-Q	20160930	2016	Q3	20161107	2016-11-07 14:54:00.0	0	1	aexc-20160930.xml	1	
0000004977-16-000373	4977	AFLAC INC	6321	US	GA	COLUMBUS	31999	1932 WYNNTON RD		7063233431	US	GA	COLUMBUS	31999	1932 WYNNTON ROAD		US	GA	581167100	AMERICAN FAMILY CORP	19920306	1-LAF	0	1231	10-Q	20160930	2016	Q3	20161104	2016-11-04 15:00:00.0	0	1	afl-20160930.xml	1	
0000005272-16-000052	5272	AMERICAN INTERNATIONAL GROUP INC	6331	US	NY	NEW YORK	10038	175 WATER STREET		2127707000	US	NY	NEW YORK	10038	175 WATER STREET		US	DE	132592361	AMERICAN INTERNATIONAL ENTERPRISES INC	19700507	1-LAF	0	1231	10-Q	20160930	2016	Q3	20161103	2016-11-03 16:38:00.0	0	1	aig-20160930.xml	1	
0000005513-16-000064	5513	UNUM GROUP	6321	US	TN	CHATTANOOGA	37402	1 FOUNTAIN SQUARE		423-294-1011	US	TN	CHATTANOOGA	37402	1 FOUNTAIN SQUARE		US	DE	621598430	UNUMPROVIDENT CORP	19990702	1-LAF	0	1231	10-Q	20160930	2016	Q3	20161027	2016-10-27 10:57:00.0	0	1	unm-20160930.xml	1	
0000006281-16-000097	6281	ANALOG DEVICES INC	3674	US	MA	NORWOOD	02062	ONE TECHNOLOGY WAY		7813294700	US	MA	NORWOOD	02062	ONE TECHNOLOGY WAY		US	MA	042348234			1-LAF	1	1031	10-K	20161031	2016	FY	20161122	2016-11-22 08:19:00.0	0	1	adi-20161029.xml	1	
0000006845-16-000051	6845	APOGEE ENTERPRISES, INC.	3231	US	MN	MINNEAPOLIS	55435	4400 WEST 78TH STREET	SUITE 520	6128351874	US	MN	MINNEAPOLIS	55435	4400 WEST 78TH STREET	SUITE 520	US	MN	410919654	APOGEE ENTERPRISES INC	19920703	1-LAF	0	0229	10-Q	20160831	2016	Q2	20161006	2016-10-06 08:59:00.0	0	1	apog-20160827.xml	1	
